銘柄名,preprocessed_text
高砂（石川県）,個性あふれる石川の酒にしては珍しくあっさりとした淡麗辛口 新潟の有名な  と比較してもいい位に感じます 
高砂（静岡県）,東京駅で見かけて 静岡のお酒は初めてだったのですが 買ってみました  精米歩合55% アルコ ル度数15度で 山廃の酸味はありますが 味のキツさは抑えていると思います 冷で飲んでみましたが 香りは米の香りで 旨味はほどほどに 良い感じで抑えてまとまりが出ています  へしこをあてに飲んでみましたが 味の強いあてに負けない それでいて飲み飽きない味わいに 満足しました  やや酸味が強いが 全体的なインパクトを抑えたシンプルで大人しい風味に感じられました 主張せずとがっていないスッキリなお酒です  色は薄黄色 甘酸っぱさのある高い香り 濃淡普通だが丸みがある印象でした  吟醸味のする辛口で 濃い味 甘みもあり バランスが良いので  いやみが無い 2千円以下でcpが良い  横浜市営地下鉄 舞岡駅のコンビニのpb  濃い味で 燗すると甘みが前に出てきて なかなかおいしい  2100で満足  スパ クリングのやつです  淡麗  うまみとか奥深さとか関係ないです フレッシュな淡麗  うまいもんですなあ  この時期にあらばしりを飲めるとは思ってませんでしたが 山廃のあらばしりは実にいい 熟れた果実の濃厚さもありジュワッときて味の奥行きも深い 味が多すぎて表現に困るが嫌な味はない 燗はまた味が増えたまらない  酒だけの味なら一緒に飲んだ氷清純米吟醸國権の方が好み ところがお刺身と合わせるとあら不思議 国権はお刺身の邪魔はしないけれど何もしない 高砂 誉富士特別純米 はお刺身の味が熟成をしたようにふくらむふくらむ ちなみに一緒に食べた餃子 手作り はドロ   冷で飲むと少し甘味があり  ボディ もあり美味しい  燗すると 酸味が前に出てくる  この価格 2千円なら十分良い  開栓直後はアルコ ル感がきつく飲みにくいです  何日か経つと甘めのうまい酒になってくれました  静岡酵母を使った山廃です  日本酒度  とのことですが 甘口というより旨口酒  香りも味わいもキツく無く 飲み飽きさせません  コストからも晩酌酒としてオススメできる一本です  単独で飲むと 少しくどいような気がしていました  今日 地元 富士宮  一番鶏 で焼き鳥と一緒に食べてその良さをあらためて感じました  ちっとも焼き鳥に負けないんです  もちろん焼き鳥の味を引き立てているのは当たり前として 酔っぱっらっても最後まで自己主張を続けるのです  これって 他の酒ではあまりありませんよね 
高野山般若湯,高野山へお参りした際に 土産物店で購入しました  高野山の僧侶が過去に飲んでいたという話に惹かれて購入  飲んでみたところ クセがなく大変飲みやすい  食事にも合うため ついついたくさん飲んでしまうほど  辛さや酸味が強くないため 初心者でも大変飲みやすく おいしくいただける思いました  あまり目立たない   和歌山の地酒の印象そのままに特別凄いという訳ではないけれど 飲み飽きしないさっぱり味で どんな料理でも相性がいいお酒だと思います  吟醸も出ていますが 普通の純米なら値段も頃合いだし癖もなし 日常の晩酌酒にはもってこいかも  蔵元デ タには掲載されてませんけど ホ ムペ ジがあるので をどうぞ  http   www hatsusakura co jp 
高麗王,冷やでも良いですが 燗で本領発揮  適切な熟成によるのでしょうか  酒本来の旨味 が心地いいお酒です  燗にすると 炊きたてのお米を噛みしめたような お米本来の素朴な甘み 旨みがふくらみつつ 後を引かずに さらっと切れていく  日 の食事を引き立てるお酒だと思います 
鬼,冷やしているとあまり感じないが常温だと香りがかなり強い 味は甘さとうまさがまず来る とても濃厚で酸味や渋みの複雑な味が残る 冷やしている方が軽く飲める 味はとても濃い 精米歩合50%の純米大吟醸とは思えないくらいのクセがある濃厚な酒でした 
鬼ころし,100円 醸造アルコ ル 糖類 酸味料添加の普通酒  熱燗につければ そこそこ呑める  ちょっと薄い感じがするが 普通酒にしては よくできている方かな  本醸造酒として造って 130円くらいで売ってくれれば  普段呑みに心強いのに いささか物足りない  決してまずくはないが 冷やで呑むと糖類 酸味料の 甘さが立ってしまうので 熱燗 飛切燗で 呑んだ方がいいですね 
鬼剣舞,アルコ ル分16 17度 精米歩合50   実質的に純米大吟醸  香り 味わいともに 軽やかでウルトラ スム ス  超好み  茶色の瓶で 原料米不明 
魚沼,いつも冷酒で頂いています 各地の高価な酒も試しましたが 清酒らしい風味の魚沼は飽きがこず 和食にとても合うと感じています 私はフル ティ な味の清酒が苦手なので今はこれ一本です 価格も手頃で気に入っています  2000円で純米なので買った 辛口で吟醸味も微かにあり 甘みも少し感じるきれいな味だ ただ味が濃い 安いのでcpは良い 
鮎,この蔵元の看板商品だと思います  甘口で いい吟醸香があります  キレもいいです  ぬる燗にすると更に旨味が増します  一升瓶    円はちょっと高い気がしますが この味ならしょうがないかな 
鮎正宗,私の一番大好きな銘柄鮎政宗  こちらは季節限定の雪中貯蔵ver  口に含むなり自然な甘みが広がり後味もスッキリも抜ける日本酒 飲みやすいので量がついつい進んでしまう  私が日本酒に本格的にハマりだしたのはこちらの酒造の日本酒に出会ってから  派手さも無く今時の日本酒ではないのだが蔵に湧く美味い水 地元の美味い米 丁寧なつくりもあり 迷わず一番好きな日本酒だと思う  蔵も人もとても人柄が良くずっと続いて欲しい銘柄  美味しい 味は甘く ほど良く濃厚で ほのかな香りもある 常温か冷の方が味と香りのバランスの良さを感じる 新潟のお酒の味を想像してはいけない  純米酒を飲みました  とっても美味しいです  品の良い 生貯蔵のような味です  甘口で 濃厚な味わいがあり キレもあります  こういう趣向は大好きです  新潟と言うと さっぱりした飲み口をイメ ジしましたが 全く持って濃い口の美味しいお酒でした  淡く綺麗な味と香りです  メロンのような上品な香りがします  甘口とのことですが とても軽やかであっさりしています  しかも 切れがよく 後に苦みやベタツキを残しません  美味しい酒ですが 個人的にはやや薄いです  住まいが長野県なので原則として地元のお酒を飲むようにしていますが 鮎正宗は県境に近いので勧められて買ってみました なかなかコクがあって評価は です ただ毎日飲むと飽きるかもしれません 
鯉川,近くの酒屋で1年前のが半額  純米吟醸だが 吟醸味を感じない 亀の尾の味もあまり感じない 山形の酒の味  鯉川純米とほとんど同じ味で 値段が安い  ハッキリした強めの味だが それをバランスが抑えて飲み易くなっている 酸味 香りは少ない なかなか美味しい  一心にて  冷酒で飲んでいると燗も薦められ 今更ながらその手もあったかと脱帽 あの透明感ある高貴な酒がフカフカのぼたもちの香りに  本醸造の生原酒です フレッシュな酸味と蜂蜜のようなまったりした甘味があります 後口は滑らかではなく 少し味がザラつきます  素晴らしいの一言  上立ち香はとても綺麗だが厚みのある果実臭 口開けは後味に苦みと渋みを感じたが  日後にはそれも消えスカッと切れ味の良い極上の酒に コクがあるのにスカッとキレる飽きない酒だから   mlなんてあっというま  案外近くで手に入りやすいのも嬉しい  全量純米を目指す鯉川の出品アル添大吟醸  よく冷えていると 洋梨のような香りが心地よく薫ります  含むと極 微かに老ね香のようなものを感じますが  素晴しい滑りと押しのある旨味の競演  後切れもよく 極上の大吟醸です  常温では甘みが強調されますが 切れのよさは失われません  大吟醸はアル添でも美味い  これはまた     もちろん燗で頂きましたが麹の香りがふわりと心地よく まさに至福のとき  おじいちゃんになってからも飲みたいなあ この酒があれば幸せ  鯉川と言えば亀の尾  強すぎず心地よい香りに 色は薄くグレ 掛かったベッコウ色  口に含むと 酸味もあるがザラメのような香ばしさを含んだ甘みも負けず 様 な味わいが広がるので表現に困る しかし旨い  酒好きには旨い酒だが 日本酒をあまり飲まない方にはわからないかも   ほほ  て感じ  地球を代表する酒として 強く推薦します  山形県の中で一番好きな酒です  私の欲しい味を全て満たしています  冷蔵保存 冷蔵輸送 遮光は絶対条件です  できれば振動も避けたい  でも それでは運べない  こんな贅沢な酒を飲める時は 心からシャ ワセです  辛口だが 旨味が充実しており爽快感もある  若干 シャンパン系の香りもあるように思われる  冷やで飲むと 後からジワ っと味が広がり 燗をつけるとますます豊かな味わいがいっぱいに広がる  値段も    円程度  機会があれば また買うかもしれないと思うくらいの満足感は得られた  幻の酒米 亀の尾 を復活させた酒蔵  多少好みは分かれるかもしれないが やや辛口でどっしりとした味わいがいい  夏子の酒のモデルでもあり 酒造りに浪漫を感じながら味わえる  原料米 亀の尾 精米歩合 55% 日本酒度  7 酵母 山形酵母 酸度 1 7 アルコ ル度 15 16度 コミック 夏子の酒 では 幻の米 龍錦 の復活栽培から純米大吟醸 康龍 が誕生しました 実はこの幻の米 龍錦 こそ 亀の尾 に他なりません 鯉川ではこの復活栽培に成功し 杜氏の名前をそのまま名付けた純米大吟醸 阿部亀治 を生み出しました ちょっと価格は高めですが それだけの価値は十分あります 生酒なので冷酒のままで 同じ 亀の尾 を使ってますが純米吟醸で 亀治好日 というのがあります 値段は安く設定されてますが 亀の尾本来の力強い米の旨みもやや薄れます ぬる燗にすると酒の旨みが引き立ちます 
鯨波,すきっと辛口ではなくやや甘口の日本酒を味わってみたくて 県内の地酒を調べてみたら これが目に留まりました  恵那醸造の鯨波 酒名が海無し県なのに鯨 と波 で面白い  香りもよく 純米吟醸なので勿論フル ティ   口当たりはまろやかだけど 後味はアルコ ルがピリッと来る  美味しい また買うと思う  本当に少量生産だから県外では手に入りにくいようです  上立ち 根菜 炊きたての米などなどを思わせる アタック僅かに強めに感じ 五百万石らしいタイトな味わい 仄かにナッツが抜ける 同時に戴いたひだほまれはより米を感じさせた 共にもう一度 一週間後に戴いてみよう 
鳥海山,上立ち僅かに香る炊き立てのご飯 すっきりとした味わいを連想  15のイメ ジよりもしっかりと旨味も感じられ 抑えた精米歩合からは思えないとても綺麗で澄んだ味わい イワシの丸干しと好相性だった  含むとパイナップル様の果実香 甘味と酸味が優しくふうわりと広がります  余韻は広がった甘味の面影を残しながら  徐 に収斂されるようにヒケていきます くどくはありません  日本酒を飲み始めて間もない頃に出会えたら最高の相手です  スペックは以下の通り  アルコ ル   度 酸度         アミノ酸         日本酒度       使用原料米 天寿酒米研究会契約栽培酒造好適米 精米     使用酵母      東京農大短醸分離株  華やかな香り 非常に質の良い香り  香りから 甘みの強いまろやかな味を予想したが ちがった キレのあるシャ プな味わい  原酒だが透明感がある  まず香りのよさにびっくり 秋田の酒もこれぐらいハッキリした酒質でもいいのでは 初心者にもおすすめ  火入れ前の生酒しか飲んだ事無いのですが かなり旨いですよ  値段もそれほど高くないので結構楽しめると思います  私のお気に入りのお酒の一つです  この蔵には撫子の花から出来た新しい酵母があるのですが 機会があればそのお酒も飲んでみたいですね 
鳩正宗,豊盃を使った純米大吟醸 田酒との飲み比べセット 田酒はチリっとした酸がありましたが 鳩正宗は酸は極仄か 質感は滑らかでミルキ  上品な洋菓子を食べたかのような満足感があります 第一弾も面白かったですが この第二弾の飲み比べも面白いですね  フレッシュな甘みがどこまでも伸びるので 余韻が長い 酸はほとんど無く 含み香は華やかさがある シルキ な柔らかさが故にポン酢系のアテに合わせてみたい 八仙 豊盃も良いけど next青森酒は絶対これです  先ずは呑むに限る 飲んだら分かる 特に純吟の山田錦 華想いが 素晴らしい 
鳳凰美田,久しぶりの鳳凰美田 酒未来 生酛に興味を抱いて購入 含むと柔らかなタッチと鳳凰美田らしいパイナップルの香味 香りは伸びすぎず穏やかに 生酛らしく旨味とコクがある この味わいを酒未来で表現するって面白い 酒未来 生酛の鳳凰美田 気付かず過ごしてきましたが今日気付けて良かったです  ふらっと入った小料理屋で すごくフル ティ  口当たりいい  合一瞬で飲む  精米歩合55%の純米吟醸 ワイン酵母で醸した品です 香りはいつも感じる華やかなフル ティ さは少なく 白ワインに近い 味は甘め 酸味と渋みが後に残る ジュ シ さが少ない アルコ ルが16%というのを除けば 白ワインです と言っても分からないかも 言いすぎかな  精米歩合55% ワイン酵母で醸した品です にごり成分が少しある 炭酸の泡がシュワシュワする 鳳凰美田にしては香りは弱い 穏やかなフル ツの香り 温めると香りもカラメルぽいような感じが出てきて 酸味や旨みが複雑に混ざった味になる  精米歩合55%の純米吟醸 とてもフル ティ な香り 甘口に感じたが開封から数日すると大きな変化が 甘みはあまり感じなくなり 酸味と渋みが大きく出てきた もはや辛口と言ってもいいくらいと思えるほどである  ちなみにこの品は無農薬米から作ったものらしく 芳 かんばし は米の生産者の名前のようです  火入れの品だがフル ティ な香りが強い 華やかな香り うまみが口に広がる あと味はすっきりと 糖度は12%程度と高いが甘く感じず軽い味わいである  精米歩合35%の大吟醸 瓶燗火入れですがとてもフル ティ な良い香りがします クリアな甘うまさが口に広がります とても旨いのですがしつこくなく 意外とあと味は軽め わずかに渋みが残ります もったいないのでチビチビ飲んでますが 1か月近く経ってもうまい  フル ティ な香り とても甘くてうまい あと味に酸味はあるが甘みも一緒に絡みつくように残るせいか あまり強く感じない これをバランスが良いと言うのだろうか 冷やから温めてぬるくなると甘みが強くなる さらに過熱していくと甘みが消えて酸味がたってくる 味わいは軽やかに変化 ぬるめの濃厚なのを秋の夜長にチビチビいきたい  近所の良く行く酒屋さんで 偶然見つけた限定酒  開栓すると 他の美田よりも更に際立つ香り  極上のパイナップルを思わせながら  口に含むとすっと切れていく酸味  精米歩合   とありましたが これほどまでとは思いませんでした  まさに極上の逸品  このお酒を口にすることが出来たことへの幸運と感謝  そんな気持ちにさせて貰いました  更に このレベルのお酒をこの価格で売ってしまうとは    驚愕のコスパも魅力です  まさに 飲んだ人を幸せにしてくれる日本酒  旨い  豊潤な薫り  さわやかな甘さ且つフル ティ  スッキリした喉ごし  旨過ぎる  今まで最高の一品です  とても良い香りと甘くてフレッシュな味わい 甘くてうまくて濃い味だが後味の軽い酸味が引き締める これだけでつまみはなくてもいい 富山県の南砺産の五百万石を使用 富山県民のせいか最近ここの米はよく目にする気がする  鳳凰美田 無濾過本生        頂きました  アル添なのに    フル ティ な香り ラベルの説明通りの滑らかな味わい  後味にも 雑味が全然なくて         純米吟醸 初しぼり  先日頂きましたが  勝るとも劣らない そんな印象を受けました  まさに全国レベルに美味い酒の一本 そんな印象です  小林酒造さん やっぱり凄いです  ちょっと前に 以前から気になっていた鳳凰美田の 芳   近所の酒屋さんで購入しました  香りの良さは以前から聞いてましたが 飲むのは初めて  さて 頂いて一言  香り 飲み口とも素晴らしいの一言  飲んで思ったより な日本酒がたまにありましたので  やはり聞いてた以上に  鳳凰美田 には高いスペックを感じました  鳳凰美田  髭判 純米大吟醸 無濾過本生 亀粋        グラスに注ぐところから 熟れた林檎様の香りが漂う  とろっと甘やかな口当たり 甘い匂いが拡がる  甘み主体に苦みや果実風の酸も  ゆるゆると味わい長く 後味に僅かな苦みあり  味も香りも非常に強くインパクト大 香りの甘さが甘味と相まって濃厚に感じます 美田で味がここまで甘いのは珍しいです  香り系の酒なのに開栓してから暫く経っても 香りも枯れずバランスを保ち 酸は弱くなる  流石です  開栓に結構時間かかりますよ と言われたが 一発開栓    開けるとシュワッと沈んでいたオリが浮き上がってくる  含むと口の中でプチプチと泡が弾けて それが心地良い  最初はオリの甘味とガス感が強く ワインらしさを感じませんでしたが  時の流れと共に落ち着き らしさが出てきます  にごりスパ クと仄かなワインのコラボが絶妙  食前の心地良い一杯にお勧めです  以前愛山を飲んだ時はたいして美味しいと思わなかった  しかし 雄町を飲んで美味く感じた  もしかしたら 当分飲むかも  あまり強すぎないフレッシュな香り  ほんのりと濁りがあり スポ ツドリンクのよう  全体的に味は控えめであるが スポ ツドリンクのように すいすい飲めてしまいます  含むとフレッシュなタッチ イチゴのような果実香とジュ シ な甘味  輪郭はスッキリしてますが 中心はしっかりしたボディを感じるので 余韻が長引き 意外に飲み応えがあります  ここの銘柄は最近加水感を感じることが多かったですが  これは感じませんね  個人的には酒単品でじっくりと味わいたい  食中で飲むならアテはチ ズなどの軽い物が良さそうかな  純米吟醸無濾過生原酒を頂きました  無濾過原酒で この透明感 スッキリ感は 秀逸というか   肩すかし を感じほどでした  いやいや 美田は 旨いです  滋賀県野洲の居酒屋 酒喜 にて  開けたては香りが強めでしたが  杯を重ねるに連れて徐 に穏やかに  味わいは鳳凰美田らしいパイナップル系の南国的な風味 酸は弱め  雄町を使ってる分 ワイルド南国さが他スペックよりも強いかな  余韻は苦み えぐみは感じず  トロピカルな風味が口の中に余韻として残り続けます  思ったよりスッキリしてるので  人によってはやや味乗りしていないような加水感も感じるでしょうか  総じて香りはかなり華やかながらもスッキリとした酒質  後日追記 飲みきり寸前の最後の   杯は味乗りしてて最高でした  以前飲んだ鳳凰美田は どうにも苦手な味で敬遠してたが 近所の酒屋さんにやたらと鳳凰美田が充実しているところがあり久 に買ってみたがこれがヒット  どうも若水が当方に合わなかったのか こちらは南国の果実のような瑞 しさが口の中に広がりなかなか美味しい  お酒だけでも楽しめそうで この銘柄はもう少し追いかけてみようと思った  含むと強めの南国フル ティ な香りと甘味  輪郭は意外にスッキリしており 結構スイスイ飲めます  全体的な骨格は地味ながらもしっかりとした酸に支えられており  余韻はくどさ無くスッとキレていきます  香る食中酒といったとこかな  日本酒に偏見を持つ世の中の人に飲ませたいかな  スペックは以下の通り  原料米 五百万石     精米歩合     アルコ ル分         地酒を飲みたくて 美田の中から今宵は若水米 栃木県小山市美田地区米 をセレクト  立ち香はえも言えぬどこか薬膳的な香りと パイン的な風味を感じるお酒  それに加え 特筆べきは アルコ ル感をまったく感じさせない 雑味の無い口当たりの良いお酒です  癖がなく スイスイと飲んでしまうお酒でもあります  あえて難を言えば もう少し旨みが加われば鬼に金棒的なお酒ですね  実に美味しいお酒に乾杯です  今宵は美味しいお酒に 蟹すき鍋も食の進む一家団欒で完食 飲  また飲みたいと思う お酒のひとつです  肩ラベルには雫絞斗瓶取りの表記  パイナップルのような南国的な果実香とジュ シ な酸味  裏ラベルにもありますが 常温に近い温度帯で飲むと この酒の良さが引き出されるようです  実にセクシ な酒です  鳳凰美田は総じて己の立ち位置というか  アイデンティティを感じさせる良い酒ですね  いつ飲んでも旨いです  注ぐとわずかに黄金色  パイナップルのような南国風の果実の香りと甘みに加えて  山廃のコクとヒノキのような木香を感じます  優雅でありながらも 力強い質感と味わいのふくらみがとても素晴らしい  鳳凰美田の山廃は初めて飲みましたが  これはかなり旨いですね  先日 飲んだ次の日に勢いで投稿してしまいましたが 冷蔵庫で2 3日寝かしてから飲んだら 全然変わっていました 香りが落着き 旨みも出てこれなら納得です 酒屋さんに聞いたら 飲食店でも 栓を抜いておいて2 3日後に出す事が多いそうです  ランキングで上位に入っており かなり期待して飲みました 空けた瞬間に 薫りがして ますます期待 ところが 口に入れると薫りはするがその後の旨みがしないのです  えっ と思って再度口に含むが 広がりがない    他の鳳凰美田もこんな感じなのでしょうか  飲み疲れ と言うんですか あまり沢山も飲めない感じです 期待していただけにがっかりです  雄町の生が美味しかったです  いろいろ飲んで全般的に美味しいです 香りが高く爽やかなお酒ですが 十四代や而今のように華やかすぎないので 合う料理も多いです  いろいろ飲んだ中で なぜか出品酒だけがイマイチでした 笑  純米吟醸 無濾過生酒 栃木酒  号 しずく絞り斗瓶取り とても綺麗で鳳凰美田にしてはやや甘い感じ 華やかで とても良い香りです  グラスをゆするとどんどん開いてくる感じで 常温でもイケます  若干の加水が効いているのか 口当たり柔らかく  味わいも優しくまとまりがあります  旨みもきちんと効いていて 後からふくらんできます  キレのよさも申し分なし  これは美味しい  鳳凰美田は山田錦のものが好みですが この新しい米はかなりいいです  純米吟醸 無濾過生酒 若水 しずく絞り斗瓶取り マスカットのようなウェットな香り  少し木香を含む流行のタイプの匂いがします  甘みと酸味と辛みがあり すこし辛みがジリジリします  なかなか美味しいのですが もう少し柔らかさが欲しいところです       とは酒米違いの兄弟  酒とでもいえるでしょうか  数値上は殆ど変わらないが 飲んだ感じはかなり異なる    不思議なものです   升瓶     で購入 昨年の純米吟醸愛山は口に合わなかったが 今年の山廃には好感 フェニックスや去年の純米吟醸より香りは控えめ  香りが高いですね  でも質はいいと思います  食前酒にいいですね 毎日ちょっぴり晩酌にいい感じです  香りが高すぎるのは最近今ひとつの評価ですかね  評価が厳しすぎるような気もします  を飲みましたが 香りがきつすぎて量が飲めませんでした 食中酒としては自分の中では不合格の酒  昨年は最高の出来でしたが今年はちょっと変です  コクが無い感じ 先月の  号は透明瓶でしたし ピンクの発泡も作っていないようですし  売れすぎて天狗になっているのか 人が足りていないのか  うっすら濁りのある酒  今まで呑んだ中では最高の酒ですわ  きりっとした中にもなんともいえない 甘さがあり淡麗辛口な酒の代表的存在  この味は 生酒でしか味わえないでしょう  強烈にフル ティ すぎ     月程寝かしておいた鳳凰美田  評判どおりマスカット系の香がし 爽やか  舌に苦味が多少残り 雑味もありますがそれらに負けない旨味がいい  生酒は管理が大変だけど飲むと忘れてしまうのが恐ろしい    五百万石のしぼりたて新酒    鳳凰美田は一本芯の通った渋さがある  それが特徴だといまさら気づいた  買ってきて冷蔵庫で半年寝かせた 本日ようやく封を切る時がきた どきどき  瓶を逆さにしてオリをおとして 封を切ると なんとまだ発酵している 器に注ぐと炭酸がしゅわっとあがる  味は やはり苦い しかし 口当たりよく よい甘みもでている そのあとの苦味がまだ勝っている感じだ    桃色にすることに力を注いだお酒だとしたら これはこれで成功しているといえる でも 旨さも追求したというのなら はてな なお酒だ  もう2年寝かせたら 丸くなってよくなるのかもしれない  どうしよう      年前から   月の声を間近に 聞く頃になると  朝鮮出身の老婆に習った  キムチを漬けることが恒例になっている   年ほど前からは 寒空の下  赤ラベルを飲みながら    個前後の白菜を塩漬けしたり  タレを塗ったりしている  辛いタレを舐めながら飲む赤は  メロンの風味と タレが絡み合って  えもいわれぬうまさである  甘口の酒の場合 辛い肴で  うまさが相殺されると思う  うげ にがい おまけにシブイ  渋すぎて自分の味覚を疑った  なんだこれは   検索したら どうやら春先の鳳凰美田ではときどきある現象のようだ 半年寝かせばうまくなる なんて書いてあるのを発見  でももう封あけちゃったしな 大丈夫かいな とおもいつつ そんなに待てないので ちょくちょく一日におちょこ一杯ずつのんでみる  じょじょになんか味が違う  二週間後 すっかりうまくなる みちがえるようだ ほんまかいな 瓶には開栓後は早くのめって書いてあるのに  もう一本買ってきて半年寝かすしかあるまい  いつ飲んでも 鳳凰美田はいいにおいがする  でもその匂いが苦手なひともいるだろうな  飲み口はやさしく 味わいはほのかに甘い  アルコ ルの辛さも特徴だ  でも旨みにかけるという人がいるかもしれない  手作りに凝った蔵なので 味にはいろいろな雑味がある これが苦手な人もいるだろう  確かな技術と丁寧なつくり  そして未完成 それゆえの若 しさが好ましい    いつ飲んでも満足だ うまいからいいや  香りはマスカットの香り 味は硫黄温泉のような味を感じた あまり好みではない 香りからは予想できない味に驚きました  鮮烈なマスカット系の上立香に思わずにやけちゃいました  つまみは要らない      b 新酒なので やや渋みが舌に残りますが 秋頃が楽しみです  米焼酎の ハナタレ  アルコ ル度数60  を醸造用アルコ ルの代わりにブレンドし オ ク樽で半年以上熟成 アルコ ル度数38度の高濃度清酒  生で 又はロックでチョコレ トやビ フジャ キ などをあてに  オ クと熟成香を楽しみながら飲る食後酒  チェ サ を忘れずに  無農薬農法で育てられた栃木産 若水 を使用し 軟水で仕込まれた酒 マスカットや洋ナシといった清 しい吟醸香と米の旨みを内包している さわやかな丸みのある酒質で 食中はもちろん食前酒にもお勧め  酒名の 芳  かんばし  酒米栽培者 藤田 芳氏に由来する ぽん酒と太鼓さんのおっしゃる通り 食中酒に最適 味 香り キレ 力強さ等すべてがハイレベル 生なのでアンバランスな点もあるが 錬れてくれば相当のパフォ マンスが期待できる酒  旨いけど甘くてベタベタするかんじで のみきれなかった  量飲める感じじゃない 二回買ったんだけど 保存状態のせいかなあ 大吟醸を残り5本のうちの2本を注文し  飲んでみて 感動しました  香りが強く 辛口でありながら甘みもあり  味も濃く  全てがぎりぎりの荒 しい限界で調和している  そんな 暴れん坊の淑女といった感じの  いわゆる癖になる酒だと思います  今まで 香りが強く まったりとした 上品な舌触りの酒を好んで飲んでいましたが  これも とっても美味しい 名酒です  すぐに 純米吟醸を3本購入しました  他の大吟醸よりも 美味しいです  コストパフォ マンスの良い蔵でしっかりした酒質 軽快に飲める  私の大好きな酒 是非ともお勧めしたい酒の一つです 醸し手の小林さんの思い入れと力強さが感じられる元気の出る酒です 酒米は山田錦 雄町 若水 亀の尾などがありますが 飲み比べるのも大変楽しい 山田錦 雄町は お酒と軽い肴で酒自身を楽しむのにいいと思います 若水 亀の尾はそれらに比べてさらりと入ってくるので 食中酒にいいかもしれません いずれも甲乙付けがたいいい酒です  山廃仕込みの純米吟醸 青ラベルは 山廃仕込みならではの どっしりとした飲み応えながら 口に広がる華やかさ  そして適度な酸味によってあらわれる すっきりとした輪郭  すべてが何層にもなって喉をすべり落ちてゆく そんなお酒です 
鳳陽,精米歩合35%の大吟醸 すっきりとした辛口だが淡麗というわけではなく しっかりとした味がある 香りもありとても良い  濃い味で 丸みがある酒だ  先日グルメの会で メンバ   人それぞれお気に入りの日本酒を持ち寄って飲み比べをしました  その際 メンバ の一人が持ってきたのが 鳳陽 の特別純米でした 一口飲んでびっくり 端麗にして程よい辛口 しかもコクがあるというか芳醇な口当たり とかく端麗辛口だと冷酒のみでしか味わえませんが この 鳳陽 なら燗でも相当旨いと思います  私のお気に入りに仲間入りしたことは言うまでもありません 
鳳鳴,透明で透き通っていて 香りは昔ながらの日本酒臭さがあり 何となく苦そうな感じがする ほんのり甘く 基本はガツンとした辛みのあるうまさが来た 予想通り後味は苦みを感じる 骨太な感じの辛口で意外と良い  数日たつとほんのり感じていた甘みが消えてかなりの辛口 苦みのある酒に 
鳴海,やや重い感じのフル ティな香り やや梨ぽい 甘く感じるが うまさがかなり強い わずかに炭酸ぽい酸味がある 最後に渋みが少し残る  含むとピチピチというよりビリッと来る強めのガス感  オリっぽい甘味が中盤フワッと広がり キレ良く引けます  ガスの爽快感とキレを主体に構築されたようなテイストで  割と何にでも合いそうな感じ  面白いがクセになる とりあえずビ ルと言ってしまいそうな勢いで とりあえず鳴海といってしまいそうな感じ 笑   良いっすね  ふるさと納税御礼の品 ラムネ香が心地よい微炭酸生酒  わりと辛口だが飲みやすいので杯が進む  商品名の 白 は謎  酒米は ふさこがね というものです  アルコ ル度 15 16 精米歩合 50  酒米 山田錦 香り華やかで 口当たり柔らか  甘くて丸くてほんわかうまくち  ぴっちぴちのフレッシュ   かと思いきや軽い渋み  あまり出回って無いかもしれませんが お薦め 
鳴門鯛,まず アルミ製の容器はインパクトありますね 阪急梅田店で試飲会にて購入しました 吟生ですよね って質問したのに 純米でなくアル添しています  って    家で飲みましたが 言葉が浮かんでこない 確かにフレッシュ感はあるようだが 個人的には可もなく  という感じてす  日本酒度 2 精米歩合60   口当たりはまろやかで 甘みが立ちます  ロックからぬる燗まで楽しめる万能選手です  若 しく パイナップルのような香りがします パイナップル酒だと言って飲ませたら信じる人が居るのではないかと思うほどパイナップルです 飲み口も爽やかで ピリピリしません 若くて挑戦的な蔵元さんの姿勢が感じられる素敵なお酒です この価格でこのクオリティ 正直脱帽です 脱帽ですが 名前が格好悪いのが玉に瑕だと思うのは私だけでしょうか    ほどよい苦味と酸味がアクセントになっている 奥の深い旨味も持っており 常温や燗がおすすめ  常に先駆的な製品を世に送り出している 鳴門鯛の本家松浦酒造場 斬新なリキュ ル類でも知られる同社だが 清酒も評判だ なかでも季節柄 日本酒度   アルコ ル15 16度 酸度    アミノ酸度   の吟醸生貯蔵酒をオススメしたい 雪冷え状態まで飲用温度を下げても 飲み口の吟醸香は損なわれず それでいて喉越しは爽快 体温で芳香する感じが なんとも憎らしい 酒母 麹米は北錦を精米歩合55 まで磨いて使用し 掛米にはアケボノ 精米歩合は同じ を使っている  後を引きます  肉料理に合いますね  少し強めに冷した方が旨いかも   酔鯨 ほどの重さは無いけど 四国の酒の代表格かな  飲み飽きないですよ  神奈川県の方  藤沢駅南口の焼鳥屋 鳥夢 にあります  銘柄は 鳴門鯛 だけに拘り その中で色 種類を揃えています  牛バラ串には 古酒 が合いますね  一度行って見て下さい 
鴻山,匂いすずやかに 甘めの酸味が利いたうまい酒です  土産に買って帰りました 
